Group,User,Time,View,Accuracy
B,S3,433.0,4.75,0.75
E,S4,457.0,1.75,0.75
E,S5,365.25,3.5,0.75
E,S6,577.0,3.0,0.5
B,S7,426.75,4.25,0.75
E,S8,238.5,3.25,0.5
B,S9,257.25,1.25,0.5
B,S10,393.75,3.75,0.75
B,S12,474.25,5.25,0.5
B,S16,477.0,5.25,1.0
B,S18,661.0,4.25,0.5
B,S19,271.75,2.5,0.75
B,S20,515.25,4.0,1.0
B,S21,408.75,5.25,0.75
E,S22,605.25,5.5,1.0
B,S23,559.0,5.5,0.75
B,S24,463.75,2.25,0.75
E,S25,253.75,3.25,0.75
B,S26,225.75,2.25,1.0
E,S27,202.25,1.5,0.75
B,S28,391.0,3.0,0.75
E,S29,220.5,2.25,1.0
B,S30,291.5,3.5,1.0
E,S31,410.0,3.75,0.75
B,S32,177.5,1.25,0.75
E,S33,340.25,4.5,1.0
B,S34,451.75,4.0,1.0
B,S36,425.5,4.5,1.0
E,S37,242.75,1.75,0.5
B,A1,395.0,3.75,0.75
A,A2,191.0,2.0,0.5
A,A3,217.0,3.25,0.25
A,A4,307.25,2.75,0.75
A,A5,272.0,3.25,0.25
E,A6,276.0,2.75,1.0
A,A7,322.25,2.0,0.75
A,A8,141.25,3.75,0.25
E,A9,428.0,6.5,0.75
E,A11,294.5,4.75,0.5
E,A12,463.75,3.5,1.0
A,A13,280.5,2.75,1.0
A,A14,135.0,1.5,0.75
A,A15,445.75,2.25,0.5
A,A16,184.5,2.5,0.25
A,A18,265.25,3.0,0.5
A,A19,126.25,2.75,0.5
A,A20,364.0,1.75,0.75
E,A21,323.5,4.75,1.0
A,A22,232.5,3.25,0.75
E,B4,340.75,3.75,1.0
E,B12,198.0,3.0,1.0
E,B13,296.25,1.25,0.5
B,B14,374.25,5.0,0.75
B,B15,302.25,3.0,0.75
E,B16,312.25,5.5,0.75
B,B17,285.25,4.0,0.75
E,B18,310.25,2.5,0.75
B,B19,304.0,4.75,0.75
B,B20,423.0,4.5,0.75
B,B21,566.75,4.25,0.75
B,B22,415.25,6.0,0.5
B,B24,492.25,5.5,0.75
E,B26,221.0,2.25,0.25
B,B27,342.75,5.0,0.75
E,B28,248.75,3.5,0.5
E,B29,387.75,4.0,0.5
B,B31,262.5,3.75,1.0
B,B32,454.25,4.25,0.75
B,B33,453.75,3.75,0.5
B,B34,342.75,4.25,0.75
B,B35,512.75,6.75,0.75
B,B36,188.5,3.25,0.25
E,B37,250.75,2.5,0.25
E,B39,400.75,3.75,0.25
B,B40,454.0,4.75,1.0
B,B42,191.25,2.25,1.0
E,B43,286.5,3.25,1.0
E,B44,255.5,4.75,0.5
E,B45,508.5,5.5,0.5
E,B46,207.75,3.25,1.0
E,B48,423.5,3.25,0.75
B,B49,235.75,3.75,0.5
A,S38,416.5,2.25,0.75
A,S39,337.25,2.25,0.5
A,S40,320.5,2.0,0.5
A,S41,228.25,1.75,0.75
A,S42,278.75,3.5,0.5
A,S43,197.75,1.75,1.0
A,S44,370.5,2.25,0.5
A,S45,232.75,1.5,0.5
A,S46,285.5,2.0,0.75
A,S47,206.75,1.75,0.75
A,S48,269.25,3.0,1.0
A,S49,311.25,2.75,0.0
A,S50,545.0,2.5,0.75
A,S51,398.5,2.25,0.75
A,S52,247.5,1.75,1.0
